date,channel,sessions
2026-09-13,Direct,3
2026-09-13,Organic Search,3
2026-09-14,Direct,3
2026-09-14,Organic Search,5
2026-09-14,Organic Social,1
2026-09-15,Direct,1
2026-09-15,Organic Search,1
2026-09-16,Organic Search,3
2026-09-16,Organic Social,3
2026-09-17,AI Assistant,1
2026-09-17,Direct,1
2026-09-17,Organic Search,6
2026-09-18,AI Assistant,1
2026-09-18,Direct,2
2026-09-18,Organic Search,9
2026-09-19,Direct,1
2026-09-19,Organic Search,6
2026-09-19,Organic Social,4
2026-09-19,Referral,3
