date,impressions,clicks,ctr,position
2026-08-18,1,1,1,1
2026-08-19,3,1,0.3333,3.3
2026-08-20,13,0,0,4.3
2026-08-21,8,0,0,7.4
2026-08-22,7,0,0,20.7
2026-08-23,5,0,0,11.4
2026-08-24,2,0,0,51
2026-08-25,3,0,0,19.3
2026-08-26,9,1,0.1111,6.1
2026-08-27,24,1,0.0417,6.2
2026-08-28,47,2,0.0426,7.2
2026-08-29,23,1,0.0435,9.3
2026-08-30,12,0,0,7.3
2026-08-31,20,0,0,10.2
2026-09-01,32,1,0.0312,7.8
2026-09-02,20,2,0.1,9.8
2026-09-03,34,2,0.0588,8.7
2026-09-04,54,4,0.0741,8.6
2026-09-05,40,4,0.1,8.6
2026-09-06,52,2,0.0385,10.1
2026-09-07,97,2,0.0206,7.7
2026-09-08,75,3,0.04,8.5
2026-09-09,92,7,0.0761,9.6
2026-09-10,77,8,0.1039,7.8
2026-09-11,97,5,0.0515,8.2
2026-09-12,80,1,0.0125,8.1
2026-09-13,70,4,0.0571,10.4
2026-09-14,128,1,0.0078,8.8
2026-09-15,59,1,0.0169,8.4
2026-09-16,70,4,0.0571,8.8
2026-09-17,127,3,0.0236,7.6
2026-09-18,144,7,0.0486,10.6
2026-09-19,133,3,0.0226,9.7
2026-09-20,222,10,0.045,8.2
2026-09-21,95,4,0.0421,8.0
