page,clicks,impressions,ctr,position
https://sixten.jp/journal/214-nike-ja-4-phantom.html,10,84,0.119,4.8
https://sixten.jp/journal/143-nba-2026-27-how-to-watch-japan.html,9,78,0.1154,7.1
https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,7,149,0.047,7.9
https://sixten.jp/,6,15,0.4,3.9
https://sixten.jp/journal/222-nike-lebron-witness-10.html,5,14,0.3571,4.2
https://sixten.jp/journal/076-kings-u15-okinawa-qualifier.html,4,43,0.093,8.7
https://sixten.jp/journal/097-76ers-flyers-new-arena.html,4,28,0.1429,2.9
https://sixten.jp/journal/146-payroll-cup-wheelchair-basketball.html,3,18,0.1667,5.4
https://sixten.jp/journal/166-konchar-knicks-one-year-deal.html,3,5,0.6,5
https://sixten.jp/journal/186-michael-sweetney-dies.html,3,42,0.0714,7.4
https://sixten.jp/journal/006-streetball.html,2,64,0.0312,8.8
https://sixten.jp/journal/035-fukuyama-denix-homegame.html,2,90,0.0222,6.9
https://sixten.jp/journal/050-hokurikugakuin-komatsuwall.html,2,12,0.1667,6.4
https://sixten.jp/journal/057-converse-2faced.html,2,91,0.022,12.9
https://sixten.jp/journal/061-hamada-sakai-ambassador.html,2,26,0.0769,6.7
https://sixten.jp/journal/070-beril-yokohama-excellence.html,2,14,0.1429,5.7
https://sixten.jp/journal/073-mills-parker-asvel.html,2,14,0.1429,8.1
https://sixten.jp/journal/099-pelicans-grizzlies-hawkins-trade.html,2,50,0.04,7.1
https://sixten.jp/journal/105-lakers-phil-jackson-statue.html,2,14,0.1429,8.5
https://sixten.jp/journal/121-jordan-tatum-5-sunrise.html,2,39,0.0513,8.9
https://sixten.jp/journal/145-jordan-tatum-signature-series.html,2,107,0.0187,9.4
https://sixten.jp/journal/179-kobe-3-protro-black-white.html,2,33,0.0606,6.2
https://sixten.jp/journal/188-onecareer-alvark-partnership.html,2,17,0.1176,4.3
https://sixten.jp/journal/220-espn-nba-rank-2026.html,2,16,0.125,7.1
https://sixten.jp/journal/index.html?cat=KICKS,2,2,1,3
https://sixten.jp/media/chris-basketball-diary.html,2,58,0.0345,9.8
https://sixten.jp/journal/033-klay-thompson-heat.html,1,4,0.25,19.5
https://sixten.jp/journal/038-jue-jones-cup-wkbl.html,1,4,0.25,13
https://sixten.jp/journal/053-yoneda-u18-tryout.html,1,36,0.0278,7.1
https://sixten.jp/journal/062-zamst-kawamura-sponsorship.html,1,7,0.1429,11.6
https://sixten.jp/journal/064-unext-bleague-streaming.html,1,23,0.0435,14.4
https://sixten.jp/journal/069-meitetsu-fe-nagoya-court.html,1,22,0.0455,6.3
https://sixten.jp/journal/085-nike-sabrina-4-the-switch.html,1,3,0.3333,4.3
https://sixten.jp/journal/094-kuas-kyoto-hannaryz.html,1,5,0.2,8.8
https://sixten.jp/journal/095-bulls-2026-27-season-preview.html,1,6,0.1667,5.2
https://sixten.jp/journal/096-nba-injury-returns-2026-27.html,1,8,0.125,9.4
https://sixten.jp/journal/109-tokyo-z-avantgardey.html,1,32,0.0312,7.5
https://sixten.jp/journal/111-nba-2026-27-tier-preview.html,1,4,0.25,4.2
https://sixten.jp/journal/114-jordan-tatum-5.html,1,50,0.02,10.5
https://sixten.jp/journal/125-pacers-2026-27-preview.html,1,5,0.2,6.6
https://sixten.jp/journal/151-bleague-premier-guide.html,1,77,0.013,8.7
https://sixten.jp/journal/162-air-jordan-1-low-halloween.html,1,4,0.25,5.2
https://sixten.jp/journal/168-kobe-8-protro-mambacurial.html,1,26,0.0385,7.6
https://sixten.jp/journal/170-nets-2026-27-preview.html,1,2,0.5,3
https://sixten.jp/journal/180-garmin-yokohama-bcorsairs-partnership.html,1,17,0.0588,6.8
https://sixten.jp/journal/194-knicks-2026-27-season-preview.html,1,4,0.25,5
https://sixten.jp/journal/195-yachiyo-flags-parachallenge-3x3.html,1,5,0.2,11.2
https://sixten.jp/journal/208-nike-kobe-8-protro-shanghai-fireworks.html,1,12,0.0833,6
https://sixten.jp/journal/209-nike-air-force-1-low-nyc-rat.html,1,11,0.0909,3.5
https://sixten.jp/journal/219-japan-women-philippines-asian-games.html,1,20,0.05,9.4
https://sixten.jp/journal/225-rockets-vanvleet-return-preview.html,1,1,1,12
https://sixten.jp/journal/237-lawrence-tanter-lakers-pa-dies.html,1,2,0.5,1
https://sixten.jp/journal/index.html?cat=CULTURE,1,2,0.5,3.5
https://sixten.jp/journal/,0,13,0,6.2
https://sixten.jp/journal/001-banned-aj1.html,0,23,0,7.7
https://sixten.jp/journal/002-iverson.html,0,5,0,16
https://sixten.jp/journal/003-signature-shoes.html,0,3,0,4.3
https://sixten.jp/journal/005-small-guards.html,0,2,0,5.5
https://sixten.jp/journal/007-osakabe-donation.html,0,1,0,47
https://sixten.jp/journal/010-abema-saudi.html,0,5,0,5
https://sixten.jp/journal/013-bs-summit-3players.html,0,1,0,20
https://sixten.jp/journal/014-oikos-gold-partner.html,0,4,0,14.2
https://sixten.jp/journal/016-kobe-camp-storks.html,0,1,0,30
https://sixten.jp/journal/017-canon-mj-bs2026.html,0,1,0,10
https://sixten.jp/journal/018-bs-summit-second-wave.html,0,1,0,3
https://sixten.jp/journal/020-bandai-namco-arena-matsue.html,0,18,0,9.1
https://sixten.jp/journal/021-westbrook-retires.html,0,3,0,24.3
https://sixten.jp/journal/022-hachimura-clippers.html,0,2,0,7
https://sixten.jp/journal/023-watford-pelicans.html,0,2,0,10.5
https://sixten.jp/journal/029-agest-tubc-partner.html,0,1,0,1
https://sixten.jp/journal/032-timberwolves-lynx-stad.html,0,2,0,8.5
https://sixten.jp/journal/034-derozan-nuggets.html,0,1,0,26
https://sixten.jp/journal/036-anker-nagasaki-velca.html,0,20,0,9.7
https://sixten.jp/journal/037-haruyoshi-yanagigaura.html,0,13,0,5.3
https://sixten.jp/journal/039-sharpe-injury.html,0,2,0,8.5
https://sixten.jp/journal/040-williams-warriors.html,0,4,0,4.5
https://sixten.jp/journal/041-niang-warriors.html,0,6,0,8.2
https://sixten.jp/journal/042-broncos-akita-preseason.html,0,9,0,7
https://sixten.jp/journal/046-mathurin-pelicans.html,0,4,0,8
https://sixten.jp/journal/047-kuminga-timberwolves.html,0,4,0,8.5
https://sixten.jp/journal/048-fujita-japan-coach.html,0,3,0,23.3
https://sixten.jp/journal/049-yoshii-japan-roster.html,0,3,0,4
https://sixten.jp/journal/051-nakamura-asano-jonescup.html,0,4,0,6
https://sixten.jp/journal/052-lowry-raptors-retired-number.html,0,1,0,9
https://sixten.jp/journal/054-crane-thunders-afterschool.html,0,2,0,49
https://sixten.jp/journal/055-rimtown-basketball-school.html,0,2,0,8
https://sixten.jp/journal/056-josh-green-jazz-trade.html,0,3,0,7.7
https://sixten.jp/journal/059-streetball-courtmap.html,0,2,0,8
https://sixten.jp/journal/060-his-bleague-partnership.html,0,7,0,12.9
https://sixten.jp/journal/063-bambitious-basketball-day.html,0,5,0,14.2
https://sixten.jp/journal/066-joshu-rydeen-upset-supplier.html,0,5,0,8.6
https://sixten.jp/journal/067-tacko-fall-76ers-camp.html,0,2,0,4
https://sixten.jp/journal/068-albirex-recruit-strategy-lab.html,0,2,0,18.5
https://sixten.jp/journal/071-westbrook-project-b.html,0,16,0,8.4
https://sixten.jp/journal/074-amen-thompson-rockets-extension.html,0,18,0,9.9
https://sixten.jp/journal/075-eneos-sunflowers-fiba-worldcup.html,0,17,0,25.9
https://sixten.jp/journal/077-ben-simmons-kings.html,0,1,0,20
https://sixten.jp/journal/078-gunma-crane-thunders-slogan.html,0,3,0,7
https://sixten.jp/journal/079-engelbert-wnba-retire.html,0,60,0,5.3
https://sixten.jp/journal/081-magic-2026-27-season-preview.html,0,4,0,5.2
