date,page,clicks,impressions,position
2026-08-18,https://sixten.jp/,1,1,1
2026-08-19,https://sixten.jp/,1,1,2
2026-08-19,https://sixten.jp/journal/023-watford-pelicans.html,0,2,4
2026-08-19,https://sixten.jp/media/chris-basketball-diary.html,0,1,5
2026-08-20,https://sixten.jp/journal/019-toyama-kurobe-hachimura.html,0,1,8
2026-08-20,https://sixten.jp/journal/024-highsmith-suns.html,0,9,2.2
2026-08-20,https://sixten.jp/journal/025-lakers-buss-family-sale.html,0,3,9.3
2026-08-21,https://sixten.jp/journal/019-toyama-kurobe-hachimura.html,0,4,8.8
2026-08-21,https://sixten.jp/journal/023-watford-pelicans.html,0,1,5
2026-08-21,https://sixten.jp/journal/024-highsmith-suns.html,0,1,6
2026-08-21,https://sixten.jp/journal/025-lakers-buss-family-sale.html,0,1,9
2026-08-21,https://sixten.jp/media/chris-basketball-diary.html,0,1,4
2026-08-22,https://sixten.jp/journal/019-toyama-kurobe-hachimura.html,0,5,22
2026-08-22,https://sixten.jp/journal/025-lakers-buss-family-sale.html,0,2,17.5
2026-08-23,https://sixten.jp/journal/019-toyama-kurobe-hachimura.html,0,2,10.5
2026-08-23,https://sixten.jp/journal/025-lakers-buss-family-sale.html,0,1,8
2026-08-23,https://sixten.jp/journal/027-converse-accelerator.html,0,2,14
2026-08-24,https://sixten.jp/journal/019-toyama-kurobe-hachimura.html,0,2,51
2026-08-25,https://sixten.jp/journal/021-westbrook-retires.html,0,1,44
2026-08-25,https://sixten.jp/journal/025-lakers-buss-family-sale.html,0,1,5
2026-08-25,https://sixten.jp/journal/026-watson-cavaliers.html,0,1,9
2026-08-26,https://sixten.jp/,0,3,5
2026-08-26,https://sixten.jp/journal/027-converse-accelerator.html,0,1,19
2026-08-26,https://sixten.jp/journal/041-niang-warriors.html,0,4,6.8
2026-08-26,https://sixten.jp/journal/046-mathurin-pelicans.html,0,1,6
2026-08-26,https://sixten.jp/journal/index.html?cat=KICKS,0,3,3
2026-08-26,https://sixten.jp/journal/index.html?cat=REPORT,1,3,1
2026-08-27,https://sixten.jp/journal/,0,1,3
2026-08-27,https://sixten.jp/journal/037-haruyoshi-yanagigaura.html,0,1,4
2026-08-27,https://sixten.jp/journal/040-williams-warriors.html,0,2,9
