query,clicks,impressions,ctr,position
ペイロールカップ,2,86,0.0233,8.8
iq5494-001,1,1,1,4
nike ja 4 phantom,1,2,0.5,2.5
nike lebron witness 10,1,2,0.5,5
sabrina 4 the switch,1,1,1,3
tatum5,1,2,0.5,6
コンバース 2faced,1,4,0.25,19.5
ジョーダンホーキンス,1,32,0.0312,8.0
テイタム５,1,6,0.1667,10
マイケル スウィート ニー,1,2,0.5,4
マイケルスウィートニー,1,2,0.5,3.5
ラッカーパーク,1,29,0.0345,8.5
ロケッツ,1,1,1,12
濱田誉,1,5,0.2,4.6
都築政憲,1,2,0.5,19
2faced le low,0,3,0,18.7
2faced low,0,5,0,14.2
2faced mid,0,2,0,9.5
2faced コンバース,0,3,0,20.3
2フェイスド コンバース,0,1,0,11
air jordan 1 last dance,0,1,0,9
air jordan 1 royal 2026,0,2,0,16.5
air jordan 12 retro idols become rivals,0,1,0,11
air jordan garden,0,1,0,17
air jordan low last dance,0,2,0,8
anker ヴェルカ,0,1,0,11
"anta kai 3 ""alchemist""",0,1,0,4
basketball zine,0,1,0,22
bリーグ プレミア,0,1,0,88
bリーグ プレミアとは,0,3,0,8.3
bリーグ 配信,0,1,0,106
bリーグプレミアとは,0,3,0,10
converse 2faced,0,4,0,26.2
his bリーグ,0,1,0,26
https//www.espn.com/nba/story/_/id/49854792/milwaukee-bucks-offseason-recap-2026-27-season-preview-stats-roster-depth-chart,0,23,0,4.0
hv5953-200,0,1,0,6
iq5708-001,0,1,0,56
ir0088-001,0,1,0,50
iv4884-200,0,3,0,4
iw2872-700,0,6,0,6.8
j balvin lemonade,0,1,0,5
ja4 phantom,0,1,0,7
ja4 新色,0,5,0,5.6
jordan 1 last dance,0,1,0,10
jordan low last dance,0,2,0,9.5
kobe 3 protro black and white,0,4,0,4.8
nba,0,1,0,1
nba cup 2026,0,2,0,8.5
nba top 100 2026,0,1,0,2
nba カップ,0,1,0,7
nba 得点王 2026,0,1,0,12
nba 配信 26-27,0,1,0,10
nbaのトンプソン兄弟が結んだ史上初の巨額延長契約のニュースについて詳しく教えて,0,1,0,9
nbaカップ,0,13,0,8.3
nbaカップ 2026,0,2,0,11.5
nbaカップ2026,0,1,0,10
nbaカップとは,0,2,0,24
nbaスウィート,0,1,0,9
nike kd6 psg,0,1,0,4
nike kobe 8 mambacurial,0,1,0,12
nike kobe 8 shanghai fireworks,0,1,0,8
nike witness 10,0,2,0,5
wnba コミッショナー,0,5,0,5
きえた？,0,1,0,1
アメントンプソン,0,1,0,31
アメン・トンプソン,0,2,0,19
アルバルク対琉球,0,1,0,70
アンダー アーマー フォックス 3,0,1,0,11
アンダーアーマー fox3,0,4,0,7.8
アンダーアーマー フォックス3,0,5,0,11
エネオス バスケ 女子,0,1,0,62
エネオスバスケ女子,0,1,0,57
カリー 契約,0,1,0,10
カワイレナード トレード,0,1,0,48
キャシー・エンゲルバート,0,13,0,5.8
クリス バスケ日記,0,1,0,11
クリスのバスケ日記,0,18,0,10.3
クリスのバスケ日記 高校,0,1,0,46
クリスバスケ日記,0,1,0,10
クリッパーズ,0,2,0,6.5
ケイトリンクラーク1,0,1,0,11
コンバース 2フェイス,0,3,0,6.3
コンバース ツーフェイス,0,1,0,15
サイン・アンド・トレード,0,1,0,25
シクサーズ アリーナ,0,1,0,2
シクサーズ ホームアリーナ,0,2,0,5.5
シックステン,0,2,0,3.5
ジャ 4 白,0,1,0,4
ジャ4 白,0,1,0,9
ジャ4新色,0,1,0,3
ジャ4白,0,1,0,1
ジャレン・スキート,0,6,0,7.8
ジョーダン・ホーキンス,0,2,0,6.5
テイタム,0,1,0,26
テイタム 5,0,10,0,11
テイタム 5 いつ,0,4,0,9
テイタム5,0,76,0,10.6
テイタム5 バッシュ,0,1,0,10
テイタム5 発売日,0,7,0,9.6
テイタム5いつ,0,11,0,10
