page,clicks,impressions,ctr,position
https://sixten.jp/,2,5,0.4,3.6
https://sixten.jp/journal/038-jue-jones-cup-wkbl.html,1,2,0.5,10.5
https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,1,14,0.0714,5.9
https://sixten.jp/journal/050-hokurikugakuin-komatsuwall.html,1,15,0.0667,5.2
https://sixten.jp/journal/index.html?cat=REPORT,1,3,0.3333,1
https://sixten.jp/media/chris-basketball-diary.html,1,6,0.1667,14.5
https://sixten.jp/journal/,0,3,0,6.7
https://sixten.jp/journal/019-toyama-kurobe-hachimura.html,0,14,0,19.7
https://sixten.jp/journal/021-westbrook-retires.html,0,3,0,35.7
https://sixten.jp/journal/023-watford-pelicans.html,0,5,0,6.8
https://sixten.jp/journal/024-highsmith-suns.html,0,10,0,2.6
https://sixten.jp/journal/025-lakers-buss-family-sale.html,0,9,0,10.7
https://sixten.jp/journal/026-watson-cavaliers.html,0,1,0,9
https://sixten.jp/journal/027-converse-accelerator.html,0,3,0,15.7
https://sixten.jp/journal/028-harden-cavaliers.html,0,1,0,9
https://sixten.jp/journal/036-anker-nagasaki-velca.html,0,3,0,13.7
https://sixten.jp/journal/037-haruyoshi-yanagigaura.html,0,6,0,4.8
https://sixten.jp/journal/039-sharpe-injury.html,0,1,0,8
https://sixten.jp/journal/040-williams-warriors.html,0,11,0,4.1
https://sixten.jp/journal/041-niang-warriors.html,0,14,0,8.1
https://sixten.jp/journal/042-broncos-akita-preseason.html,0,16,0,8.2
https://sixten.jp/journal/046-mathurin-pelicans.html,0,9,0,7.6
https://sixten.jp/journal/047-kuminga-timberwolves.html,0,1,0,5
https://sixten.jp/journal/048-fujita-japan-coach.html,0,2,0,9
https://sixten.jp/journal/049-yoshii-japan-roster.html,0,1,0,3
https://sixten.jp/journal/051-nakamura-asano-jonescup.html,0,4,0,6
https://sixten.jp/journal/052-lowry-raptors-retired-number.html,0,5,0,8.2
https://sixten.jp/journal/053-yoneda-u18-tryout.html,0,15,0,8.1
https://sixten.jp/journal/index.html?cat=KICKS,0,3,0,3
