query,clicks,impressions,ctr,position
コンバース 2faced,1,4,0.25,19.5
ジョーダンホーキンス,1,15,0.0667,7.3
濱田誉,1,5,0.2,4.6
2faced low,0,1,0,20
2faced mid,0,2,0,9.5
2faced コンバース,0,3,0,20.3
2フェイスド コンバース,0,1,0,11
bリーグ 配信,0,1,0,106
converse 2faced,0,2,0,23.5
his bリーグ,0,1,0,26
wnba コミッショナー,0,5,0,5
アメントンプソン,0,1,0,31
アメン・トンプソン,0,2,0,19
エネオス バスケ 女子,0,1,0,62
エネオスバスケ女子,0,1,0,57
キャシー・エンゲルバート,0,10,0,5.6
クリスのバスケ日記,0,1,0,11
コンバース 2フェイス,0,3,0,6.3
コンバース ツーフェイス,0,1,0,15
シクサーズ アリーナ,0,1,0,2
シックステン,0,2,0,3.5
ジャレン・スキート,0,6,0,7.8
デローザン ナゲッツ,0,1,0,26
バスケの日 奈良,0,1,0,8
パティ ミルズ,0,1,0,1
パティ・ミルズ,0,6,0,8.8
パティーミルズ,0,2,0,6.5
ペイロールカップ,0,12,0,9.6
ポッドキャスト バスケットボール,0,2,0,25.5
ラッカーパーク,0,3,0,9.3
ラッカーパーク ニューヨーク,0,6,0,9.5
濱田誉 バスケ,0,1,0,19
濵田 誉,0,2,0,9
濵田誉,0,2,0,6.5
片桐章光,0,1,0,21
米田時生,0,12,0,7.6
藤田 弘輝,0,1,0,48
