日付,PV（GA4）,ユーザー（GA4）,セッション（GA4）,検索表示回数（GSC）,検索クリック（GSC）,検索CTR%,平均掲載順位,PV 7日平均,表示回数 7日平均,クリック 7日平均,備考
2026-08-18,,,,1,1,100.0,1.0,,1.0,1.0,
2026-08-19,,,,3,1,33.3,3.3,,2.0,1.0,
2026-08-20,,,,13,0,0.0,4.3,,5.7,0.7,
2026-08-21,,,,8,0,0.0,7.4,,6.2,0.5,
2026-08-22,,,,7,0,0.0,20.7,,6.4,0.4,
2026-08-23,,,,5,0,0.0,11.4,,6.2,0.3,
2026-08-24,,,,2,0,0.0,51.0,,5.6,0.3,
2026-08-25,,,,3,0,0.0,19.3,,5.9,0.1,
2026-08-26,,,,9,1,11.1,6.1,,6.7,0.1,
2026-08-27,,,,24,1,4.2,6.2,,8.3,0.3,
2026-08-28,,,,47,2,4.3,7.2,,13.9,0.6,
2026-08-29,,,,23,1,4.3,9.3,,16.1,0.7,
2026-08-30,,,,12,0,0.0,7.3,,17.1,0.7,
2026-08-31,,,,20,0,0.0,10.2,,19.7,0.7,
2026-09-01,,,,32,1,3.1,7.8,,23.9,0.9,
2026-09-02,,,,20,2,10.0,9.8,,25.4,1.0,
2026-09-03,,,,34,2,5.9,8.7,,26.9,1.1,
2026-09-04,,,,54,4,7.4,8.6,,27.9,1.4,
2026-09-05,,,,40,4,10.0,8.6,,30.3,1.9,
2026-09-06,,,,52,2,3.9,10.1,,36.0,2.1,
2026-09-07,,,,97,2,2.1,7.7,,47.0,2.4,
2026-09-08,,,,75,3,4.0,8.5,,53.1,2.7,
2026-09-09,,,,92,7,7.6,9.6,,63.4,3.4,
2026-09-10,,,,77,8,10.4,7.8,,69.6,4.3,
2026-09-11,,,,97,5,5.1,8.2,,75.7,4.4,
2026-09-12,,,,80,1,1.2,8.1,,81.4,4.0,
2026-09-13,6,6,6,70,4,5.7,10.4,6.0,84.0,4.3,
2026-09-14,10,8,9,128,1,0.8,8.8,8.0,88.4,4.1,
2026-09-15,3,2,2,59,1,1.7,8.4,6.3,86.1,3.9,
2026-09-16,14,6,6,70,4,5.7,8.8,8.2,83.0,3.4,検索は暫定（2〜3日で確定）
2026-09-17,12,8,8,126,3,2.4,7.6,9.0,90.0,2.7,検索は暫定（2〜3日で確定）
2026-09-18,15,12,12,100,4,4.0,10.8,10.0,90.4,2.6,検索は暫定（2〜3日で確定）
