ページ,クリック,表示回数,CTR,掲載順位
https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,4,117,0.0342,8.0
https://sixten.jp/journal/076-kings-u15-okinawa-qualifier.html,4,38,0.1053,8
https://sixten.jp/journal/097-76ers-flyers-new-arena.html,4,19,0.2105,3.1
https://sixten.jp/,3,12,0.25,4.6
https://sixten.jp/journal/050-hokurikugakuin-komatsuwall.html,3,20,0.15,5.5
https://sixten.jp/media/chris-basketball-diary.html,3,20,0.15,10.9
https://sixten.jp/journal/035-fukuyama-denix-homegame.html,2,89,0.0225,6.9
https://sixten.jp/journal/057-converse-2faced.html,2,85,0.0235,12.8
https://sixten.jp/journal/061-hamada-sakai-ambassador.html,2,26,0.0769,6.7
https://sixten.jp/journal/070-beril-yokohama-excellence.html,2,11,0.1818,5.7
https://sixten.jp/journal/073-mills-parker-asvel.html,2,12,0.1667,8.3
https://sixten.jp/journal/099-pelicans-grizzlies-hawkins-trade.html,2,45,0.0444,6.9
https://sixten.jp/journal/105-lakers-phil-jackson-statue.html,2,12,0.1667,9.3
https://sixten.jp/journal/121-jordan-tatum-5-sunrise.html,2,23,0.087,8.8
https://sixten.jp/journal/006-streetball.html,1,27,0.037,10.3
https://sixten.jp/journal/033-klay-thompson-heat.html,1,3,0.3333,22.3
https://sixten.jp/journal/038-jue-jones-cup-wkbl.html,1,5,0.2,11.4
https://sixten.jp/journal/053-yoneda-u18-tryout.html,1,40,0.025,7.1
https://sixten.jp/journal/062-zamst-kawamura-sponsorship.html,1,7,0.1429,11.6
https://sixten.jp/journal/064-unext-bleague-streaming.html,1,20,0.05,15.1
https://sixten.jp/journal/069-meitetsu-fe-nagoya-court.html,1,22,0.0455,6.3
https://sixten.jp/journal/094-kuas-kyoto-hannaryz.html,1,4,0.25,9.5
https://sixten.jp/journal/095-bulls-2026-27-season-preview.html,1,6,0.1667,5.2
https://sixten.jp/journal/096-nba-injury-returns-2026-27.html,1,5,0.2,9.8
https://sixten.jp/journal/111-nba-2026-27-tier-preview.html,1,3,0.3333,5
https://sixten.jp/journal/114-jordan-tatum-5.html,1,46,0.0217,10.7
https://sixten.jp/journal/index.html?cat=CULTURE,1,1,1,3
https://sixten.jp/journal/index.html?cat=KICKS,1,4,0.25,3.2
https://sixten.jp/journal/index.html?cat=REPORT,1,3,0.3333,1
https://sixten.jp/journal/,0,11,0,5
https://sixten.jp/journal/001-banned-aj1.html,0,8,0,7.5
https://sixten.jp/journal/002-iverson.html,0,1,0,6
https://sixten.jp/journal/005-small-guards.html,0,2,0,5.5
https://sixten.jp/journal/010-abema-saudi.html,0,5,0,5
https://sixten.jp/journal/013-bs-summit-3players.html,0,1,0,20
https://sixten.jp/journal/014-oikos-gold-partner.html,0,1,0,32
https://sixten.jp/journal/016-kobe-camp-storks.html,0,1,0,30
https://sixten.jp/journal/017-canon-mj-bs2026.html,0,1,0,10
https://sixten.jp/journal/018-bs-summit-second-wave.html,0,1,0,3
https://sixten.jp/journal/019-toyama-kurobe-hachimura.html,0,14,0,19.7
https://sixten.jp/journal/020-bandai-namco-arena-matsue.html,0,11,0,8.5
https://sixten.jp/journal/021-westbrook-retires.html,0,3,0,35.7
https://sixten.jp/journal/022-hachimura-clippers.html,0,1,0,5
https://sixten.jp/journal/023-watford-pelicans.html,0,5,0,6.8
https://sixten.jp/journal/024-highsmith-suns.html,0,10,0,2.6
https://sixten.jp/journal/025-lakers-buss-family-sale.html,0,9,0,10.7
https://sixten.jp/journal/026-watson-cavaliers.html,0,1,0,9
https://sixten.jp/journal/027-converse-accelerator.html,0,3,0,15.7
https://sixten.jp/journal/028-harden-cavaliers.html,0,1,0,9
https://sixten.jp/journal/032-timberwolves-lynx-stad.html,0,1,0,6
https://sixten.jp/journal/034-derozan-nuggets.html,0,1,0,26
https://sixten.jp/journal/036-anker-nagasaki-velca.html,0,18,0,9.6
https://sixten.jp/journal/037-haruyoshi-yanagigaura.html,0,15,0,5.3
https://sixten.jp/journal/039-sharpe-injury.html,0,2,0,8.5
https://sixten.jp/journal/040-williams-warriors.html,0,12,0,3.8
https://sixten.jp/journal/041-niang-warriors.html,0,15,0,7.7
https://sixten.jp/journal/042-broncos-akita-preseason.html,0,20,0,7.6
https://sixten.jp/journal/046-mathurin-pelicans.html,0,10,0,7.7
https://sixten.jp/journal/047-kuminga-timberwolves.html,0,3,0,4.3
https://sixten.jp/journal/048-fujita-japan-coach.html,0,5,0,17.6
https://sixten.jp/journal/049-yoshii-japan-roster.html,0,3,0,4
https://sixten.jp/journal/051-nakamura-asano-jonescup.html,0,5,0,5.6
https://sixten.jp/journal/052-lowry-raptors-retired-number.html,0,5,0,8.2
https://sixten.jp/journal/054-crane-thunders-afterschool.html,0,1,0,89
https://sixten.jp/journal/055-rimtown-basketball-school.html,0,2,0,8
https://sixten.jp/journal/056-josh-green-jazz-trade.html,0,3,0,7.7
https://sixten.jp/journal/060-his-bleague-partnership.html,0,7,0,12.9
https://sixten.jp/journal/063-bambitious-basketball-day.html,0,5,0,14.2
https://sixten.jp/journal/066-joshu-rydeen-upset-supplier.html,0,1,0,10
https://sixten.jp/journal/067-tacko-fall-76ers-camp.html,0,2,0,4
https://sixten.jp/journal/068-albirex-recruit-strategy-lab.html,0,2,0,18.5
https://sixten.jp/journal/071-westbrook-project-b.html,0,15,0,8.8
https://sixten.jp/journal/074-amen-thompson-rockets-extension.html,0,15,0,10.2
https://sixten.jp/journal/075-eneos-sunflowers-fiba-worldcup.html,0,17,0,25.9
https://sixten.jp/journal/077-ben-simmons-kings.html,0,1,0,20
https://sixten.jp/journal/078-gunma-crane-thunders-slogan.html,0,1,0,11
https://sixten.jp/journal/079-engelbert-wnba-retire.html,0,57,0,5.3
https://sixten.jp/journal/081-magic-2026-27-season-preview.html,0,1,0,7
https://sixten.jp/journal/082-nba-rivalries-2026-27.html,0,3,0,10.3
https://sixten.jp/journal/087-fc-barcelona-nike-kobe-3-protro.html,0,3,0,8.7
https://sixten.jp/journal/089-bucks-2026-27-season-preview.html,0,45,0,3.5
https://sixten.jp/journal/090-air-jordan-12-idols-become-rivals.html,0,3,0,10.3
https://sixten.jp/journal/092-revision-utsunomiya-brex.html,0,1,0,8
https://sixten.jp/journal/093-lebron-23-white-team-red.html,0,2,0,5
https://sixten.jp/journal/104-wizards-nichols-vp-promotion.html,0,2,0,2
https://sixten.jp/journal/106-air-jordan-7-tennis-day.html,0,2,0,9.5
https://sixten.jp/journal/107-akaishi-iwbf-wheelchair-worlds.html,0,3,0,8
https://sixten.jp/journal/109-tokyo-z-avantgardey.html,0,13,0,7
https://sixten.jp/journal/110-anta-kai-3-alchemist.html,0,6,0,6.7
https://sixten.jp/journal/112-cavaliers-2026-27-preview.html,0,2,0,3
