月,ページ,クリック,表示回数,CTR,掲載順位
2026-08,https://sixten.jp/,2,5,0.4,3.6
2026-08,https://sixten.jp/journal/038-jue-jones-cup-wkbl.html,1,2,0.5,10.5
2026-08,https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,1,14,0.0714,5.9
2026-08,https://sixten.jp/journal/050-hokurikugakuin-komatsuwall.html,1,15,0.0667,5.2
2026-08,https://sixten.jp/journal/index.html?cat=REPORT,1,3,0.3333,1
2026-08,https://sixten.jp/media/chris-basketball-diary.html,1,6,0.1667,14.5
2026-08,https://sixten.jp/journal/,0,3,0,6.7
2026-08,https://sixten.jp/journal/019-toyama-kurobe-hachimura.html,0,14,0,19.7
2026-08,https://sixten.jp/journal/021-westbrook-retires.html,0,3,0,35.7
2026-08,https://sixten.jp/journal/023-watford-pelicans.html,0,5,0,6.8
2026-08,https://sixten.jp/journal/024-highsmith-suns.html,0,10,0,2.6
2026-08,https://sixten.jp/journal/025-lakers-buss-family-sale.html,0,9,0,10.7
2026-08,https://sixten.jp/journal/026-watson-cavaliers.html,0,1,0,9
2026-08,https://sixten.jp/journal/027-converse-accelerator.html,0,3,0,15.7
2026-08,https://sixten.jp/journal/028-harden-cavaliers.html,0,1,0,9
2026-08,https://sixten.jp/journal/036-anker-nagasaki-velca.html,0,3,0,13.7
2026-08,https://sixten.jp/journal/037-haruyoshi-yanagigaura.html,0,6,0,4.8
2026-08,https://sixten.jp/journal/039-sharpe-injury.html,0,1,0,8
2026-08,https://sixten.jp/journal/040-williams-warriors.html,0,11,0,4.1
2026-08,https://sixten.jp/journal/041-niang-warriors.html,0,14,0,8.1
2026-08,https://sixten.jp/journal/042-broncos-akita-preseason.html,0,16,0,8.2
2026-08,https://sixten.jp/journal/046-mathurin-pelicans.html,0,9,0,7.6
2026-08,https://sixten.jp/journal/047-kuminga-timberwolves.html,0,1,0,5
2026-08,https://sixten.jp/journal/048-fujita-japan-coach.html,0,2,0,9
2026-08,https://sixten.jp/journal/049-yoshii-japan-roster.html,0,1,0,3
2026-08,https://sixten.jp/journal/051-nakamura-asano-jonescup.html,0,4,0,6
2026-08,https://sixten.jp/journal/052-lowry-raptors-retired-number.html,0,5,0,8.2
2026-08,https://sixten.jp/journal/053-yoneda-u18-tryout.html,0,15,0,8.1
2026-08,https://sixten.jp/journal/index.html?cat=KICKS,0,3,0,3
2026-09,https://sixten.jp/journal/076-kings-u15-okinawa-qualifier.html,4,28,0.1429,7.6
2026-09,https://sixten.jp/journal/043-payrollcup-4th-wheelchair.html,3,36,0.0833,7.6
2026-09,https://sixten.jp/journal/097-76ers-flyers-new-arena.html,3,12,0.25,2.8
2026-09,https://sixten.jp/,2,6,0.3333,2.3
2026-09,https://sixten.jp/journal/050-hokurikugakuin-komatsuwall.html,2,5,0.4,6.4
2026-09,https://sixten.jp/journal/057-converse-2faced.html,2,66,0.0303,11.5
2026-09,https://sixten.jp/journal/061-hamada-sakai-ambassador.html,2,26,0.0769,6.7
2026-09,https://sixten.jp/journal/073-mills-parker-asvel.html,2,11,0.1818,6.5
2026-09,https://sixten.jp/journal/099-pelicans-grizzlies-hawkins-trade.html,2,28,0.0714,6.4
2026-09,https://sixten.jp/journal/105-lakers-phil-jackson-statue.html,2,8,0.25,8.5
2026-09,https://sixten.jp/media/chris-basketball-diary.html,2,9,0.2222,9.4
2026-09,https://sixten.jp/journal/033-klay-thompson-heat.html,1,2,0.5,7.5
2026-09,https://sixten.jp/journal/035-fukuyama-denix-homegame.html,1,25,0.04,7.5
2026-09,https://sixten.jp/journal/053-yoneda-u18-tryout.html,1,23,0.0435,6.7
2026-09,https://sixten.jp/journal/062-zamst-kawamura-sponsorship.html,1,7,0.1429,11.6
2026-09,https://sixten.jp/journal/064-unext-bleague-streaming.html,1,18,0.0556,15.9
2026-09,https://sixten.jp/journal/069-meitetsu-fe-nagoya-court.html,1,17,0.0588,5.8
2026-09,https://sixten.jp/journal/095-bulls-2026-27-season-preview.html,1,4,0.25,6
2026-09,https://sixten.jp/journal/096-nba-injury-returns-2026-27.html,1,3,0.3333,11.7
2026-09,https://sixten.jp/journal/index.html?cat=KICKS,1,1,1,4
2026-09,https://sixten.jp/journal/,0,1,0,4
2026-09,https://sixten.jp/journal/001-banned-aj1.html,0,4,0,7.8
2026-09,https://sixten.jp/journal/002-iverson.html,0,1,0,6
2026-09,https://sixten.jp/journal/005-small-guards.html,0,2,0,5.5
2026-09,https://sixten.jp/journal/006-streetball.html,0,9,0,9.4
2026-09,https://sixten.jp/journal/010-abema-saudi.html,0,5,0,5
2026-09,https://sixten.jp/journal/014-oikos-gold-partner.html,0,1,0,32
2026-09,https://sixten.jp/journal/016-kobe-camp-storks.html,0,1,0,30
2026-09,https://sixten.jp/journal/017-canon-mj-bs2026.html,0,1,0,10
2026-09,https://sixten.jp/journal/018-bs-summit-second-wave.html,0,1,0,3
2026-09,https://sixten.jp/journal/020-bandai-namco-arena-matsue.html,0,6,0,8.3
2026-09,https://sixten.jp/journal/022-hachimura-clippers.html,0,1,0,5
2026-09,https://sixten.jp/journal/032-timberwolves-lynx-stad.html,0,1,0,6
