月,PV（GA4）,ユーザー数（GA4）,新規ユーザー（GA4）,セッション（GA4）,平均滞在秒（GA4）,エンゲージメント率%（GA4）,検索表示回数（GSC）,検索クリック（GSC）,検索CTR%（GSC）,平均掲載順位（GSC）,備考
2025-05,0,0,0,0,0,0,0,0,0.0,0.0,GA4未取得（検索データのみ）
2025-06,0,0,0,0,0,0,0,0,0.0,0.0,GA4未取得（検索データのみ）
2025-07,0,0,0,0,0,0,0,0,0.0,0.0,GA4未取得（検索データのみ）
2025-08,0,0,0,0,0,0,0,0,0.0,0.0,GA4未取得（検索データのみ）
2025-09,0,0,0,0,0,0,0,0,0.0,0.0,GA4未取得（検索データのみ）
2025-10,0,0,0,0,0,0,0,0,0.0,0.0,GA4未取得（検索データのみ）
2025-11,0,0,0,0,0,0,0,0,0.0,0.0,GA4未取得（検索データのみ）
2025-12,0,0,0,0,0,0,0,0,0.0,0.0,GA4未取得（検索データのみ）
2026-01,0,0,0,0,0,0,0,0,0.0,0.0,GA4未取得（検索データのみ）
2026-02,0,0,0,0,0,0,0,0,0.0,0.0,GA4未取得（検索データのみ）
2026-03,0,0,0,0,0,0,0,0,0.0,0.0,GA4未取得（検索データのみ）
2026-04,0,0,0,0,0,0,0,0,0.0,0.0,GA4未取得（検索データのみ）
2026-05,0,0,0,0,0,0,0,0,0.0,0.0,GA4未取得（検索データのみ）
2026-06,0,0,0,0,0,0,0,0,0.0,0.0,GA4未取得（検索データのみ）
2026-07,0,0,0,0,0,0,0,0,0.0,0.0,GA4未取得（検索データのみ）
2026-08,0,0,0,0,0.0,0.0,177,7,4.0,8.7,GA4計測タグ設置前（PVは実在しても取得不可）
2026-09,0,0,0,0,0.0,0.0,573,35,6.1,8.6,GA4計測タグ設置前（PVは実在しても取得不可）
